Data from Chowell, G., et al. "Transmission dynamics of the great influenza pandemic of 1918 in Geneva, Switzerland: Assessing the effects of hypothetical interventions." Journal of theoretical biology 241.2 (2006): 193-204.
bin,month,day,year,num
1,07,01,1918,16
2,07,02,1918,10
3,07,03,1918,16
4,07,04,1918,15
5,07,05,1918,34
6,07,06,1918,56
7,07,07,1918,61
8,07,08,1918,39
9,07,09,1918,45
10,07,10,1918,55
11,07,11,1918,92
12,07,12,1918,86
13,07,13,1918,71
14,07,14,1918,110
15,07,15,1918,109
16,07,16,1918,136
17,07,17,1918,263
18,07,18,1918,194
19,07,19,1918,201
20,07,20,1918,206
21,07,21,1918,223
22,07,22,1918,233
23,07,23,1918,189
24,07,24,1918,234
25,07,25,1918,201
26,07,26,1918,223
27,07,27,1918,188
28,07,28,1918,138
29,07,29,1918,170
30,07,30,1918,197
31,07,31,1918,142
32,08,01,1918,191
33,08,02,1918,200
34,08,03,1918,190
35,08,04,1918,199
36,08,05,1918,139
37,08,06,1918,139
38,08,07,1918,132
39,08,08,1918,131
40,08,09,1918,104
41,08,10,1918,94
42,08,11,1918,68
43,08,12,1918,86
44,08,13,1918,83
45,08,14,1918,74
46,08,15,1918,60
47,08,16,1918,65
48,08,17,1918,54
49,08,18,1918,40
50,08,19,1918,39
51,08,20,1918,26
52,08,21,1918,33
53,08,22,1918,27
54,08,23,1918,25
55,08,24,1918,27
56,08,25,1918,31
57,08,26,1918,45
58,08,27,1918,31
59,08,28,1918,34
60,08,29,1918,24
61,08,30,1918,24
62,08,31,1918,7
63,09,01,1918,12
64,09,02,1918,24
65,09,03,1918,17
66,09,04,1918,10
67,09,05,1918,17
68,09,06,1918,14
69,09,07,1918,9
70,09,08,1918,12
71,09,09,1918,14
72,09,10,1918,4
73,09,11,1918,16
74,09,12,1918,18
75,09,13,1918,28
76,09,14,1918,22
77,09,15,1918,24
78,09,16,1918,37
79,09,17,1918,35
80,09,18,1918,46
81,09,19,1918,33
82,09,20,1918,24
83,09,21,1918,15
84,09,22,1918,28
85,09,23,1918,36
86,09,24,1918,40
87,09,25,1918,88
88,09,26,1918,65
89,09,27,1918,84
90,09,28,1918,64
91,09,29,1918,70
92,09,30,1918,96
93,10,01,1918,124
94,10,02,1918,122
95,10,03,1918,183
96,10,04,1918,190
97,10,05,1918,218
98,10,06,1918,254
99,10,07,1918,267
100,10,08,1918,226
101,10,09,1918,352
102,10,10,1918,286
103,10,11,1918,226
104,10,12,1918,284
105,10,13,1918,318
106,10,14,1918,373
107,10,15,1918,416
108,10,16,1918,449
109,10,17,1918,493
110,10,18,1918,417
111,10,19,1918,361
112,10,20,1918,471
113,10,21,1918,501
114,10,22,1918,497
115,10,23,1918,422
116,10,24,1918,457
117,10,25,1918,433
118,10,26,1918,438
119,10,27,1918,302
120,10,28,1918,293
121,10,29,1918,314
122,10,30,1918,223
123,10,31,1918,252
124,11,01,1918,205
125,11,02,1918,212
126,11,03,1918,203
127,11,04,1918,160
128,11,05,1918,167
129,11,06,1918,137
130,11,07,1918,131
131,11,08,1918,114
132,11,09,1918,113
133,11,10,1918,94
134,11,11,1918,114
135,11,12,1918,62
136,11,13,1918,79
137,11,14,1918,56
138,11,15,1918,61
139,11,16,1918,61
140,11,17,1918,91
141,11,18,1918,67
142,11,19,1918,66
143,11,20,1918,74
144,11,21,1918,68
145,11,22,1918,93
146,11,23,1918,70
147,11,24,1918,75
148,11,25,1918,83
149,11,26,1918,76
150,11,27,1918,69
151,11,28,1918,63
152,11,29,1918,59
153,11,30,1918,49
154,12,01,1918,61
155,12,02,1918,57
156,12,03,1918,40
157,12,04,1918,52
158,12,05,1918,41
159,12,06,1918,42
160,12,07,1918,47
161,12,08,1918,61
162,12,09,1918,49
163,12,10,1918,43
164,12,11,1918,36
165,12,12,1918,35
166,12,13,1918,36
167,12,14,1918,27
168,12,15,1918,28
169,12,16,1918,20
170,12,17,1918,30
171,12,18,1918,26
172,12,19,1918,22
173,12,20,1918,27
174,12,21,1918,21
175,12,22,1918,20
176,12,23,1918,19
177,12,24,1918,10
178,12,25,1918,17
179,12,26,1918,17
180,12,28,1918,8
181,12,29,1918,9
182,12,30,1918,13
